Categorie,Sous_categorie,Tag,Question,Réponse,Article_reference,,,
Droit du travail,Congés,Droit de jouissance,Quelle est la période minimale de service effectif pour acquérir le droit de jouissance du congé ?,Le droit de jouissance du congé est acquis après une période minimale de service effectif de douze mois.,"Article 165, Code du Travail",,,
Droit du travail,Congés,Indemnité compensatrice,Quelles sont les conditions d’octroi d’une indemnité compensatrice du congé selon l'article 166 ?,Une indemnité compensatrice doit être accordée en cas de rupture ou d’expiration du contrat avant l'acquisition du droit au congé.,"Article 166, Code du Travail",,,
Droit du travail,Congés,Travail journalier,Comment est perçue l'allocation de congé pour un travailleur engagé à l’heure ou à la journée ?,"Il perçoit son allocation de congé en même temps que le salaire acquis, au plus tard en fin de journée.","Article 167, Code du Travail",,,
Droit du travail,Congés,Indemnité journalier,Comment est calculée l'indemnité compensatrice de congé payé pour un travailleur journalier ?,Elle est égale à un douzième de la rémunération acquise au cours de la journée et doit être mentionnée distinctement sur le bulletin de paie.,"Article 168, Code du Travail",,,
Droit du travail,Congés,Liberté de jouir du congé,Où le travailleur est-il libre de jouir de son congé selon l'article 169 ?,Le travailleur est libre de jouir de son congé dans le pays de son choix.,"Article 169, Code du Travail",,,
Droit du travail,Congés,Allocation de congé,Quelle allocation doit verser l'employeur avant le départ en congé selon l'article 170 ?,L'employeur doit verser une allocation au moins égale à la moyenne des salaires des douze mois précédant le départ en congé.,"Article 170, Code du Travail",,,
Droit du travail,Congés,Exclusion d'indemnité,Que stipule l'article 171 concernant l'indemnité de congé et la durée du congé ?,"Les conventions collectives ou le contrat individuel peuvent exclure l'indemnité de la rémunération pour le calcul de l'allocation, et la durée du congé peut être augmentée des délais de route.","Article 171, Code du Travail",,,
Droit du travail,Voyages et transports,Frais de voyage,Qui prend en charge les frais de voyage du travailleur et de sa famille selon l'article 172 ?,"Les frais de voyage du travailleur, de son conjoint et des enfants à charge vivant habituellement avec lui sont à la charge de l’employeur.","Article 172, Code du Travail",,,
Droit du travail,Voyages et transports,Cas de prise en charge,Dans quels cas l'employeur prend-il en charge les frais de transport au retour selon l'article 172 ?,"L'employeur prend en charge les frais de transport dans le cas d'expiration de contrat, de résiliation, de rupture du contrat par l'employeur, ou pour cas de force majeure.","Article 172, Code du Travail",,,
Droit du travail,Voyages et transports,Remboursement des frais,Que se passe-t-il si un contrat est résilié pour d'autres causes selon l'article 173 ?,"Si le contrat est résilié pour d'autres causes, le montant des frais de transport retour est proportionnel au temps de service du travailleur.","Article 173, Code du Travail",,,
Droit du travail,Voyages et transports,Classe de passage,Quelle classe de passage est appliquée pour les frais de transport selon l'article 174 ?,"La classe de passage et le poids des bagages sont les mêmes pour tous les travailleurs, mais les charges de famille sont prises en compte pour le poids des bagages.","Article 174, Code du Travail",,,
Droit du travail,Voyages et transports,Choix de transport,Qui choisit les voies et moyens de transport selon l'article 175 ?,"Les voies et moyens de transport sont choisis par l’employeur, sauf disposition contraire entre les parties.","Article 175, Code du Travail",,,
Droit du travail,Voyages et transports,Délais de route,Quelles sont les conditions relatives aux délais de route selon l'article 176 ?,"Les délais de route ne sont pas compris dans la durée maximum du contrat, et s'il utilise un moyen plus rapide, il continue à bénéficier des délais nécessaires avec le moyen choisi.","Article 176, Code du Travail",,,
Droit du travail,Voyages et transports,Droits en matière de transport,Que peut exiger un travailleur ayant cessé son service selon l'article 177 ?,Le travailleur peut exiger de son ancien employeur la mise à sa disposition des titres de transport auxquels il a droit dans un délai de deux ans.,"Article 177, Code du Travail",,,
Droit du travail,Voyages et transports,Indemnité à l'attente,Quel droit a le travailleur en attente de transport selon l'article 178 ?,Le travailleur a droit à une indemnité correspondant au salaire et à tous les avantages qu’il aurait perçus jusqu’à son embarquement.,"Article 178, Code du Travail",,,
Droit du travail,Voyages et transports,Indemnité de présence,Quel est le droit du travailleur en attente de transport pour rejoindre son lieu d'emploi selon l'article 179 ?,Le travailleur reçoit une indemnité calculée sur la base de l'allocation de congé pendant qu'il attend le moyen de transport.,"Article 179, Code du Travail",,,
Droit du travail,Voyages et transports,Rapatriement,Qui prend en charge le rapatriement en cas de décès du travailleur expatrié selon l'article 180 ?,Le rapatriement du corps est à la charge de l’employeur en cas de décès du travailleur expatrié ou déplacé.,"Article 180, Code du Travail",,,
Droit du travail,Jours fériés,Jours fériés,Quels sont les jours fériés ?,Les jours fériés sont ceux fixés par la loi.,"Article 181, Code du Travail",,,
Droit du travail,Salaires,Égalité salariale,Comment est déterminé le salaire ?,"À conditions égales de travail, le salaire est égal pour tous les travailleurs, quelle que soit leur origine, sexe, âge et statut.","Article 182, Code du Travail",,,
Droit du travail,Salaires,Logement pour travailleurs,Quel droit a un travailleur déplacé concernant le logement ?,Le travailleur déplacé a droit à un logement de l'employeur s'il ne peut se procurer un logement décent par ses propres moyens.,"Article 183, Code du Travail",,,
Droit du travail,Salaires,Ravitaillement,Que doit assurer l'employeur en cas de ravitaillement insuffisant ?,L'employeur doit assurer un ravitaillement régulier en denrées alimentaires de première nécessité si le travailleur ne peut pas l'obtenir.,"Article 184, Code du Travail",,,
Droit du travail,Salaires,Indemnité de séjour,Quelles indemnités peuvent être prévues pour le travailleur ?,Les conventions collectives ou le contrat de travail peuvent prévoir une indemnité pour dédommager le travailleur des dépenses liées à son séjour au lieu d'emploi.,"Article 185, Code du Travail",,,
Droit du travail,Salaires,Déplacement professionnel,Quelle indemnité est allouée lors d'un déplacement temporaire ?,Une indemnité est allouée si le travailleur est astreint à un déplacement occasionnel hors de son lieu habituel d'emploi.,"Article 186, Code du Travail",,,
Droit du travail,Salaires,Salaires minima,Quels éléments sont fixés par des décrets en conseil des ministres ?,"Les décrets fixent les salaires minima interprofessionnels garantis, la composition d'une commission nationale des salaires minima, et d'autres fournitures.","Article 187, Code du Travail",,,
Droit du travail,Salaires,Conventions collectives,Que se passe-t-il en l'absence de conventions collectives ?,"À défaut de conventions collectives, un décret fixe les catégories professionnelles et les salaires minima correspondants.","Article 187, Code du Travail",,,
Droit du travail,Jours fériés,Jours fériés,Quels sont les jours fériés ?,Les jours fériés sont ceux fixés par la loi.,"Article 181, Code du Travail",,,
Droit du travail,Salaires,Égalité salariale,Comment est déterminé le salaire ?,"À conditions égales de travail, le salaire est égal pour tous les travailleurs, quelle que soit leur origine, sexe, âge et statut.","Article 182, Code du Travail",,,
Droit du travail,Salaires,Logement pour travailleurs,Quel droit a un travailleur déplacé concernant le logement ?,Le travailleur déplacé a droit à un logement de l'employeur s'il ne peut se procurer un logement décent par ses propres moyens.,"Article 183, Code du Travail",,,
Droit du travail,Salaires,Ravitaillement,Que doit assurer l'employeur en cas de ravitaillement insuffisant ?,L'employeur doit assurer un ravitaillement régulier en denrées alimentaires de première nécessité si le travailleur ne peut pas l'obtenir.,"Article 184, Code du Travail",,,
Droit du travail,Salaires,Indemnité de séjour,Quelles indemnités peuvent être prévues pour le travailleur ?,Les conventions collectives ou le contrat de travail peuvent prévoir une indemnité pour dédommager le travailleur des dépenses liées à son séjour au lieu d'emploi.,"Article 185, Code du Travail",,,
Droit du travail,Salaires,Déplacement professionnel,Quelle indemnité est allouée lors d'un déplacement temporaire ?,Une indemnité est allouée si le travailleur est astreint à un déplacement occasionnel hors de son lieu habituel d'emploi.,"Article 186, Code du Travail",,,
Droit du travail,Salaires,Salaires minima,Quels éléments sont fixés par des décrets en conseil des ministres ?,"Les décrets fixent les salaires minima interprofessionnels garantis, la composition d'une commission nationale des salaires minima, et d'autres fournitures.","Article 187, Code du Travail",,,
Droit du travail,Salaires,Conventions collectives,Que se passe-t-il en l'absence de conventions collectives ?,"À défaut de conventions collectives, un décret fixe les catégories professionnelles et les salaires minima correspondants.","Article 187, Code du Travail",,,
Droit du travail,Salaires,Rémunération,Comment est calculée la rémunération d’un travail à la tâche ?,La rémunération d’un travail à la tâche doit être calculée de telle sorte qu’elle procure au travailleur un salaire au moins égal à celui du travailleur rémunéré au temps effectuant un travail analogue.,"Article 188, Code du Travail",,,
Droit du travail,Salaires,Absence,Quel est le droit en cas d'absence du travailleur ?,"Aucun salaire n’est dû en cas d’absence du travailleur, sauf exceptions prévues par la réglementation et sauf accord entre les parties.","Article 189, Code du Travail",,,
Droit du travail,Salaires,Commission mixte,Quelle est la fonction de la commission mixte paritaire ?,Elle est chargée des négociations salariales et des conditions de travail dans le secteur privé.,"Article 190, Code du Travail",,,
Droit du travail,Salaires,Commissions,Comment sont prises en compte les commissions dans le calcul de la rémunération ?,"Il en est tenu compte pour le calcul de la rémunération pendant la durée du congé, de l’indemnité de préavis, des dommages et intérêts.","Article 191, Code du Travail",,,
Droit du travail,Salaires,Paiement en nature,Quelles sont les conditions de paiement des salaires ?,"Le salaire doit être payé en monnaie ayant cours légal au Burkina Faso, et le paiement en alcool ou en nature est interdit sauf exceptions.","Article 192, Code du Travail",,,
Droit du travail,Salaires,Lieu de paiement,Où doit être effectuée la paye ?,"La paye est faite sur le lieu de travail, sauf cas de force majeure.","Article 193, Code du Travail",,,
Droit du travail,Salaires,Fréquence de paiement,Quelles sont les règles concernant la fréquence de paiement des salaires ?,"Le salaire doit être payé à intervalles réguliers, ne dépassant pas quinze jours pour les travailleurs engagés à l’heure ou à la journée.","Article 194, Code du Travail",,,
Droit du travail,Salaires,Paiement des commissions,Quand doivent être payées les commissions acquises ?,Les commissions acquises au cours d’un trimestre doivent être payées dans les trois mois suivant la fin de ce trimestre.,"Article 195, Code du Travail",,,
Droit du travail,Salaires,Solde de tout compte,Que se passe-t-il en cas de rupture de contrat de travail ?,"Le salaire et les accessoires de salaire doivent être payés dès la fin du contrat, en cas de résiliation ou de rupture du contrat de travail.","Article 196, Code du Travail",,,
Droit du travail,Salaires,Bulletin de paye,Quelles sont les obligations concernant les bulletins de paye ?,Tout paiement de salaire doit faire l’objet d’un bulletin de paye dressé et certifié par l’employeur et remis au travailleur.,"Article 197, Code du Travail",,,
Droit du travail,Salaires,Contexture,Quelle est la règle concernant la contexture du bulletin de paye ?,La contexture du bulletin de paye et du registre des paiements est fixée par voie réglementaire par le ministre chargé du travail.,"Article 198, Code du Travail",,,
Droit du travail,Salaires,Renonciation,Peut-on renoncer à ses droits en signant un solde de tout compte ?,"La mention pour solde de tout compte ne peut être opposée au travailleur, renonçant ainsi à ses droits résultant de son contrat.","Article 199, Code du Travail",,,
Droit du travail,Salaires,Acceptation,Quelles sont les conséquences de l’acceptation d’un bulletin de paye ?,"L’acceptation d’un bulletin de paye ne vaut pas renonciation au paiement de tout ou partie du salaire, primes ou indemnités dues.","Article 200, Code du Travail",,,
Droit du travail,Salaires,Paiement,Que se passe-t-il en cas de contestation sur le paiement du salaire ?,Le non-paiement est présumé si l’employeur ne peut produire le registre des paiements dûment émargé par le travailleur.,"Article 201, Code du Travail",,,
Droit du travail,Salaires,Créance de salaire,Qu'est-ce que le salaire ?,"Le salaire est la prestation versée au travailleur par l’employeur en contrepartie de son travail, incluant le salaire de base et les accessoires du salaire.","Article 202, Code du Travail",,,
Droit du travail,Salaires,Super privilège,Quelle est la nature du super privilège des créances de salaire ?,"La créance de salaire bénéficie d’un super privilège sur les biens meubles et immeubles du débiteur, supérieur à tous les autres privilèges.","Article 203, Code du Travail",,,
Droit du travail,Salaires,Créances des travailleurs,Comment sont payées les créances des travailleurs lors de la liquidation ?,Les créances des travailleurs sont payées dans les dix jours suivant la liquidation judiciaire sur simple ordonnance du juge commissaire.,"Article 205, Code du Travail",,,
Droit du travail,Salaires,Avance,Que se passe-t-il si les créances sont payées grâce à une avance ?,"Si les créances des travailleurs sont payées par une avance, le prêteur est subrogé dans les droits du travailleur et doit être remboursé dès les fonds disponibles.","Article 206, Code du Travail",,,
Droit du travail,Salaires,Logement,Que devient le logement du travailleur lors de la liquidation judiciaire ?,Le travailleur logé par l’employeur avant la liquidation continue à être logé jusqu’au paiement de sa dernière créance ou jusqu’à son départ pour sa résidence habituelle.,"Article 207, Code du Travail",,,
Droit du travail,Salaires,Objets de l'entreprise,Quel droit a le travailleur sur les objets appartenant à l’entreprise ?,Le travailleur détenteur d’un objet de l’entreprise peut exercer le droit de rétention et des objets mobiliers non retirés dans les six mois peuvent être vendus.,"Article 208, Code du Travail",,,
Droit du travail,Salaires,Saisie-attribution,Quel soutien bénéficie le travailleur en cas de saisie ?,Le travailleur bénéficie de l’assistance judiciaire pour toute procédure de saisie-attribution devant les juridictions de droit commun.,"Article 209, Code du Travail",,,
Droit du travail,Prescription de l'action,Prescription salaire,Quelle est la durée de prescription pour l'action en paiement du salaire ?,"L’action en paiement du salaire, des accessoires du salaire, des primes et des indemnités se prescrit par deux ans à compter de la date à partir de laquelle le salaire est exigible.","Article 210, Code du Travail",,,
Droit du travail,Prescription de l'action,Suspension,Quand la prescription de l'action en paiement est-elle suspendue ?,"La prescription est suspendue lorsqu’il y a compte arrêté, cédule, obligation ou citation en justice en cours de validité, ou en cas de tentative de conciliation devant l’inspecteur du travail.","Article 210, Code du Travail",,,
Droit du travail,Retenues sur salaires,Interdiction amendes,L'employeur peut-il infliger des amendes aux travailleurs ?,Il est interdit à l’employeur d’infliger des amendes au travailleur pour quelque motif que ce soit. Cette disposition est d’ordre public.,"Article 213, Code du Travail",,,
Droit du travail,Retenues sur salaires,Retenues,Comment peut-on faire des retenues sur les rémunérations ?,"Les retenues sur les rémunérations ne peuvent être faites que par saisie-attribution ou cession volontaire, souscrite devant la juridiction du lieu de résidence ou l’inspection du travail.","Article 214, Code du Travail",,,
Droit du travail,Retenues sur salaires,Compensation,Peut-on compenser la rémunération avec les sommes dues par le travailleur ?,Il ne peut y avoir compensation entre la rémunération et les sommes dues par le travailleur que dans la limite de la partie saisissable et sur les seules sommes immobilisées.,"Article 214, Code du Travail",,,
Droit du travail,Retenues sur salaires,Prélèvements,Qui détermine les taux de prélèvements sur les salaires et pensions de retraite ?,Les portions de salaires et de pensions soumises à prélèvements progressifs sont déterminées par voie réglementaire par le ministre chargé du travail après avis de la commission consultative du travail.,"Article 215, Code du Travail",,,
Droit du travail,Retenues sur salaires,Calcul retenue,Comment est calculée la retenue sur le salaire ou la pension de retraite ?,"Pour le calcul de la retenue, il est tenu compte de tous les accessoires du salaire ou de la pension, à l'exception des indemnités insaisissables et des allocations pour charges de famille.","Article 216, Code du Travail",,,
Droit du travail,Retenues sur salaires,Nullité clauses,Que se passe-t-il si une convention autorise des prélèvements non conformes ?,Les clauses d’une convention ou d’un contrat de travail autorisant tous autres prélèvements sont nulles de plein droit.,"Article 217, Code du Travail",,,
Droit du travail,Retenues sur salaires,Intérêts,Quelles sont les conséquences des retenues en violation des dispositions légales ?,Les sommes retenues en violation des dispositions produisent des intérêts au profit du travailleur au taux légal depuis la date où celles-ci auraient dû être payées.,"Article 218, Code du Travail",,,
Droit du travail,Retenues sur salaires,Prééminence,Les dispositions de ce chapitre excluent-elles d'autres mesures de prévoyance sociale ?,Les dispositions du présent chapitre n’excluent pas l’application des mesures prévues par les régimes légaux ou réglementaires de prévoyance sociale.,"Article 219, Code du Travail",,,
Droit du travail,Cautionnement,Définition,Qu'est-ce que le cautionnement ?,Le cautionnement est un contrat par lequel un travailleur dépose une somme d’argent entre les mains de son employeur pour garantir la restitution des fonds qu’il peut perdre ou dissiper.,"Article 220, Code du Travail",,,
Droit du travail,Cautionnement,Récépissé,Que doit faire un chef d’entreprise lors de la réception d'un cautionnement ?,Tout chef d’entreprise doit délivrer un récépissé pour le cautionnement et le mentionner en détail sur le registre d’employeur.,"Article 221, Code du Travail",,,
Droit du travail,Cautionnement,Dépôt,Quel est le délai pour mettre un cautionnement en dépôt ?,"Tout cautionnement doit être mis en dépôt dans un délai d’un mois à compter de sa réception par l’employeur, avec mention sur le registre d’employeur et un certificat de dépôt.","Article 222, Code du Travail",,,
Droit du travail,Cautionnement,Modalités de dépôt,Qui fixe les modalités de dépôt du cautionnement ?,Les modalités de dépôt ainsi que la liste des caisses publiques et des banques habilitées à le recevoir sont fixées par voie réglementaire par le ministre chargé du travail.,"Article 223, Code du Travail",,,
Droit du travail,Cautionnement,Retenues,L'employeur peut-il retenir une partie du salaire pour constituer le cautionnement ?,"L'employeur peut opérer des retenues sur le salaire et les accessoires du salaire du travailleur en vue de constituer le cautionnement, après avis du tribunal du travail.","Article 224, Code du Travail",,,
Droit du travail,Cautionnement,Retrait,Quelles sont les conditions pour retirer un cautionnement ?,"Le retrait de tout ou partie du dépôt ne peut être effectué que sous le double consentement de l’employeur et du travailleur, ou sous celui de l’un d’eux habilité par la juridiction compétente.","Article 225, Code du Travail",,,
Droit du travail,Cautionnement,Privilège,Quel privilège a l'employeur sur le cautionnement ?,L’employeur bénéficie d’un privilège sur le cautionnement en cas d’affectation du livret ou du dépôt du cautionnement à l’égard des tiers formant des saisies-attributions.,"Article 226, Code du Travail",,,
Droit du travail,Cautionnement,Nullité saisie,Que se passe-t-il en cas de saisie-attribution sur le cautionnement ?,Toute saisie-attribution formée entre les mains de l’administration de la caisse publique ou de la banque est nulle de plein droit.,"Article 227, Code du Travail",,,
Droit du travail,Œuvres sociales,Définition,Qu'est-ce que l'économat ?,L’économat est le mécanisme par lequel l’employeur pratique directement la vente ou la cession de marchandises aux travailleurs pour leurs besoins personnels.,"Article 228, Code du Travail",,,
Droit du travail,Œuvres sociales,Conditions,Quelles sont les conditions pour l'admission d'un économat ?,L’économat est admis si : 1) les travailleurs ne sont pas contraints de s’y ravitailler , 2) la vente est faite exclusivement au comptant et sans bénéfice , 3) la comptabilité est autonome , 4) les prix doivent être affichés.,"Article 229, Code du Travail"
Droit du travail,Œuvres sociales,Autorisation,Qui doit autoriser l'ouverture d'un économat ?,"L’ouverture d’un économat est subordonnée à l’autorisation du ministre chargé du travail, délivrée après avis de l’inspecteur du travail du ressort.","Article 230, Code du Travail",,,
Droit du travail,Œuvres sociales,Application,Quelles structures sont soumises aux dispositions sur l’économat ?,"Tout commerce installé à l’intérieur de l’entreprise est soumis aux dispositions sur l’économat, à l’exception des coopératives ouvrières.","Article 231, Code du Travail",,,
Droit du travail,Œuvres sociales,Interdiction,Est-il permis de vendre de l'alcool dans un économat ?,"La vente d’alcool et de boissons alcoolisées est interdite dans les économats et sur le lieu de travail, sauf dérogation accordée par l’inspection du travail.","Article 232, Code du Travail",,,
Droit du travail,Œuvres sociales,Contrôle,Qui contrôle le fonctionnement de l'économat ?,"Le fonctionnement de l’économat est contrôlé par l’inspecteur du travail, qui peut prescrire la fermeture provisoire en cas de violation des prescriptions.","Article 233, Code du Travail",,,
Droit du travail,Œuvres sociales,Fermeture,Qui peut ordonner la fermeture définitive d'un économat ?,La fermeture définitive des économats peut être ordonnée par le ministre chargé du travail sur rapport de l’inspecteur du travail.,"Article 233, Code du Travail",,,
Droit du travail,Œuvres sociales,Définition,Quelles œuvres sociales peuvent être créées ?,"Des œuvres sociales telles que des cantines, des crèches, des cafétérias et des espaces de loisirs peuvent être créées.","Article 234, Code du Travail",,,
Droit du travail,Œuvres sociales,Conditions,Quelles sont les conditions pour la création d'autres œuvres sociales ?,"La création de ces œuvres sociales doit être faite dans les conditions fixées par acte réglementaire conjoint des ministres chargés du travail et de l’action sociale, après avis de la commission consultative du travail.","Article 234, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Obligations de l'employeur,Quelles sont les obligations de l'employeur en matière de sécurité au travail ?,L'employeur est responsable de la mise en œuvre des mesures de sécurité et de santé prévues par la loi.,"Article 235, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Obligations de l'employeur,Quelles sont les obligations de l'employeur en matière de sécurité au travail ?,L'employeur est responsable de la mise en œuvre des mesures de sécurité et de santé prévues par la loi.,"Article 235, Code du Travail",,,
Droit du travail,Œuvres sociales,Conditions d'ouverture,Quelles sont les conditions pour ouvrir un économat au sein d'une entreprise ?,"L’ouverture d’un économat est subordonnée à l’autorisation du ministre chargé du travail, après avis de l'inspecteur.","Article 230, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Mesures préventives,Quelles sont les mesures que l’employeur doit prendre pour prévenir les risques au travail ?,"L'employeur doit prendre des mesures techniques, organisationnelles et de formation pour assurer la prévention des risques professionnels.","Article 236, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Coopération,Que doivent faire les employeurs lorsque plusieurs entreprises partagent un même lieu de travail ?,"Les employeurs doivent coopérer, s'informer réciproquement et informer leurs travailleurs des risques professionnels et des mesures de prévention.","Article 237, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Protection individuelle,Que se passe-t-il lorsque les mesures de sécurité ne sont pas suffisantes pour protéger les travailleurs ?,"Des mesures de protection individuelle, comme l'utilisation d'équipements appropriés, doivent être mises en place et fournies par l'employeur.","Article 238, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Inspection,Que doit faire l'employeur avant d'utiliser de nouveaux équipements ou procédés dangereux ?,L'employeur doit informer par écrit l'inspecteur du travail et se conformer à ses directives concernant la protection des travailleurs.,"Article 239, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Vérifications,À quelle fréquence les machines doivent-elles être vérifiées pour éviter les accidents ?,"Toute machine défectueuse doit être vérifiée au moins une fois par trimestre, et les résultats consignés dans le registre de sécurité.","Article 240, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Formation des travailleurs,Quelle formation l'employeur doit-il assurer pour prévenir les risques professionnels ?,L'employeur doit assurer une formation générale minimale en matière de sécurité et de santé au travail.,"Article 242, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Formation pratique,Dans quels cas l'employeur doit-il organiser une formation pratique et appropriée en sécurité et santé ?,"L'employeur doit organiser cette formation pour les travailleurs nouvellement embauchés, changeant de poste, ou reprenant après un arrêt de plus de six mois.","Article 243, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Premiers secours,Combien de personnes doivent être formées aux premiers secours dans un atelier de plus de vingt-cinq employés ?,Deux ou trois personnes doivent recevoir la formation nécessaire pour administrer les soins de premier secours.,"Article 244, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Déclaration des accidents,Quel est le délai pour l'employeur de déclarer un accident de travail ou une maladie professionnelle ?,L'employeur doit déclarer tout accident de travail ou maladie professionnelle dans un délai de deux jours ouvrables à la sécurité sociale et à l'inspection du travail.,"Article 246, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Création de comité,Quand un employeur doit-il créer un comité de sécurité et santé au travail ?,L'employeur doit créer un comité de sécurité et santé au travail dans les établissements occupant au moins trente travailleurs.,"Article 249, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Formation des représentants,Quelle formation doivent recevoir les représentants du personnel au comité de sécurité et santé au travail ?,"Les représentants du personnel bénéficient d'une formation nécessaire à l'exercice de leurs missions, à la charge de l'employeur, renouvelée après six ans de mandat.","Article 251, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Service de sécurité,Dans quels cas l'employeur doit-il mettre en place un service de sécurité en milieu de travail ?,L'employeur doit mettre en place un service de sécurité en milieu de travail dans les entreprises industrielles occupant au moins cinquante travailleurs.,"Article 254, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Rapport annuel,Que doit présenter l'employeur annuellement au comité de sécurité et santé au travail ?,"L'employeur doit présenter un rapport sur la sécurité et la santé au travail dans l'entreprise, portant sur les dispositions adoptées et exécutées durant l'année écoulée.","Article 252, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Couverture sanitaire,À quoi tout employeur installé au Burkina Faso est-il tenu en matière de couverture sanitaire de ses travailleurs ?,L'employeur est tenu d’assurer la couverture sanitaire de ses travailleurs en s'affiliant à l'office de santé des travailleurs ou à toute autre structure agréée par le ministre de la santé.,"Article 255, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Rôle du service de santé,Quelle est la principale mission du service de santé au travail ?,Le service de santé au travail est chargé de la prévention des risques en milieu de travail et de conseiller l'employeur et les travailleurs pour un environnement de travail sûr et salubre.,"Article 256, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Missions du service,Quelles sont les missions spécifiques du service de santé au travail ?,"Le service de santé au travail assure la protection des travailleurs, contribue à un environnement de travail sûr, adapte le travail aux capacités humaines, surveille la santé des travailleurs, etc.","Article 257, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Emplacement du service,Où doit être situé le service de santé au travail ?,Le service de santé au travail doit être situé sur les lieux de travail ou à proximité et peut être propre à une entreprise ou commun à plusieurs entreprises.,"Article 258, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Dépenses,Qui prend en charge les dépenses afférentes au service de santé au travail ?,"Les dépenses sont à la charge de l'employeur, et en cas de service commun à plusieurs entreprises, elles sont réparties proportionnellement au nombre de travailleurs.","Article 259, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Visites médicales,Quelles sont les visites médicales que l'employeur doit assurer pour ses travailleurs ?,"L'employeur doit présenter ses travailleurs aux visites médicales d'embauche, périodiques, de surveillance spéciale, de reprise de travail et de fin de contrat.","Article 261, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Temps de travail,Comment est considéré le temps passé lors des visites médicales et examens complémentaires ?,Le temps passé pour les visites médicales et les examens complémentaires est considéré comme temps de travail effectif.,"Article 261, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Test de dépistage,Le test de dépistage du VIH peut-il être exigé lors des visites médicales ?,"Le test de dépistage du VIH ne peut en aucun cas être exigé lors des visites médicales, mais le dépistage volontaire et anonyme est encouragé.","Article 261, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Frais,Qui prend en charge les frais des visites médicales et examens complémentaires ?,Les frais des visites médicales et des examens complémentaires jugés utiles pour statuer sur l'aptitude médicale du travailleur sont à la charge de l'employeur.,"Article 261, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Inaptitude,Que doit faire l'employeur lorsqu'un travailleur ne peut plus occuper son poste pour des raisons médicales ?,"L'employeur doit tout mettre en œuvre pour affecter le travailleur à un autre poste compatible avec son état de santé, ou à défaut, il est licencié avec paiement des droits.","Article 263, Code du Travail",,,
Droit du travail,Sécurité et santé au travail,Organisation des services,"Comment sont fixés l'organisation, le fonctionnement et les moyens d'action des services de santé au travail ?",Ils sont fixés par acte réglementaire conjoint des ministres chargés du travail et de la santé après avis du comité technique national consultatif de sécurité et santé au travail.,"Article 264, Code du Travail",,,
Contrôle,Sécurité et santé au travail,Inspection,Quel rôle joue l'inspecteur du travail dans le contrôle des dispositions en matière de sécurité et santé au travail ?,L'inspecteur du travail contrôle le respect par l'employeur des dispositions en matière de sécurité et santé au travail.,"Article 265, Code du Travail",,,
Contrôle,Sécurité et santé au travail,Mise en demeure,Que se passe-t-il lorsque l'inspecteur du travail constate une infraction aux normes de sécurité et santé au travail ?,"L'inspecteur met en demeure l'employeur de se conformer aux normes. La mise en demeure est immédiatement exécutoire, mais un recours administratif peut être introduit.","Article 266, Code du Travail",,,
Contrôle,Sécurité et santé au travail,Mise en demeure,Comment l'inspecteur du travail procède-t-il pour notifier la mise en demeure à l'employeur ?,"La mise en demeure est faite par écrit, soit sur le registre de l'employeur, soit par lettre recommandée ou par tout autre moyen utile.","Article 267, Code du Travail",,,
Contrôle,Sécurité et santé au travail,Délai de conformité,Quel est le délai minimum fixé par l'inspecteur pour que les infractions ou dangers constatés disparaissent ?,"Le délai minimum est de quatre jours francs, sauf en cas d'extrême urgence où un délai plus court peut être fixé.","Article 267, Code du Travail",,,
Contrôle,Sécurité et santé au travail,Inspection médicale,Quelle est la mission de l'inspection médicale du travail ?,"L'inspection médicale du travail participe à l'élaboration des textes sur la sécurité et santé au travail, contrôle l'application des législations, conseille et constate les infractions.","Article 269, Code du Travail",,,
Contrôle,Sécurité et santé au travail,Organisation inspection,Comment est organisée l'inspection médicale du travail ?,L'organisation et le fonctionnement de l'inspection médicale du travail sont déterminés par décret en conseil des ministres après avis du comité technique national consultatif.,"Article 271, Code du Travail",,,
